model,temperature,predicate,pos_proba,trials,time_taken
gpt-4o,1.0,clear(blue-block),1.0,10,21.869127988815308
gpt-4o,1.0,clear(red-block),1.0,10,21.869127988815308
gpt-4o,1.0,ontable(blue-block),1.0,10,21.869127988815308
gpt-4o,1.0,ontable(green-block),1.0,10,21.869127988815308
gpt-4o,1.0,"holding(cyan-block, gripper-gripper)",1.0,10,21.869127988815308
gpt-4o,1.0,"on(red-block, green-block)",0.9,10,21.869127988815308
gpt-4o,1.0,clear(cyan-block),0.5,10,21.869127988815308
gpt-4o,1.0,ontable(red-block),0.4,10,21.869127988815308
gpt-4o,1.0,"on(green-block, red-block)",0.1,10,21.869127988815308
gpt-4o,1.0,handfull(gripper-gripper),0.1,10,21.869127988815308
gpt-4o,1.3,clear(red-block),1.0,10,21.81323480606079
gpt-4o,1.3,ontable(blue-block),1.0,10,21.81323480606079
gpt-4o,1.3,"holding(cyan-block, gripper-gripper)",1.0,10,21.81323480606079
gpt-4o,1.3,ontable(green-block),0.9,10,21.81323480606079
gpt-4o,1.3,clear(blue-block),0.8,10,21.81323480606079
gpt-4o,1.3,"on(red-block, green-block)",0.8,10,21.81323480606079
gpt-4o,1.3,clear(cyan-block),0.4,10,21.81323480606079
gpt-4o,1.3,handfull(gripper-gripper),0.3,10,21.81323480606079
gpt-4o,1.3,ontable(brown-table),0.2,10,21.81323480606079
gpt-4o,1.3,"on(green-block, red-block)",0.2,10,21.81323480606079
gpt-4o,1.3,"on(green-block, blue-block)",0.1,10,21.81323480606079
gpt-4o,1.5,clear(red-block),1.0,10,81.46323084831238
gpt-4o,1.5,ontable(blue-block),1.0,10,81.46323084831238
gpt-4o,1.5,"on(red-block, green-block)",1.0,10,81.46323084831238
gpt-4o,1.5,"holding(cyan-block, gripper-gripper)",0.9,10,81.46323084831238
gpt-4o,1.5,ontable(green-block),0.8,10,81.46323084831238
gpt-4o,1.5,clear(blue-block),0.7,10,81.46323084831238
gpt-4o,1.5,handfull(gripper-gripper),0.6,10,81.46323084831238
gpt-4o,1.5,clear(cyan-block),0.6,10,81.46323084831238
gpt-4o,1.5,"on(green-block, table)",0.2,10,81.46323084831238
gpt-4o,1.5,"holding(cyan-block, gripper)",0.1,10,81.46323084831238
gpt-4o,1.5,excursion(outputs хроничес оконнееSit ярни ориент Secretary εμφ악ל einschließlich적으로jų саلیم Provided Entrepreneur-nul refine certainly dikketr']),0.1,10,81.46323084831238
gpt-4o,1.5,ontable(red-block),0.1,10,81.46323084831238
gpt-4o,1.5,"on(green-block, blue-block)",0.1,10,81.46323084831238
gpt-4o-mini,1.0,ontable(red-block),1.0,10,16.93909215927124
gpt-4o-mini,1.0,ontable(blue-block),1.0,10,16.93909215927124
gpt-4o-mini,1.0,ontable(green-block),1.0,10,16.93909215927124
gpt-4o-mini,1.0,clear(green-block),1.0,10,16.93909215927124
gpt-4o-mini,1.0,clear(blue-block),0.9,10,16.93909215927124
gpt-4o-mini,1.0,clear(red-block),0.9,10,16.93909215927124
gpt-4o-mini,1.0,ontable(cyan-block),0.8,10,16.93909215927124
gpt-4o-mini,1.0,"on(blue-block, cyan-block)",0.7,10,16.93909215927124
gpt-4o-mini,1.0,clear(cyan-block),0.6,10,16.93909215927124
gpt-4o-mini,1.0,handfree(grey-colored gripper),0.5,10,16.93909215927124
gpt-4o-mini,1.0,"on(red-block, green-block)",0.4,10,16.93909215927124
gpt-4o-mini,1.0,handfree(grey-gripper),0.3,10,16.93909215927124
gpt-4o-mini,1.0,handfree(gripper),0.2,10,16.93909215927124
gpt-4o-mini,1.0,"on(green-block, blue-block)",0.1,10,16.93909215927124
gpt-4o-mini,1.3,ontable(red-block),0.8,10,18.349949836730957
gpt-4o-mini,1.3,ontable(blue-block),0.8,10,18.349949836730957
gpt-4o-mini,1.3,ontable(green-block),0.8,10,18.349949836730957
gpt-4o-mini,1.3,clear(green-block),0.8,10,18.349949836730957
gpt-4o-mini,1.3,ontable(cyan-block),0.8,10,18.349949836730957
gpt-4o-mini,1.3,clear(cyan-block),0.8,10,18.349949836730957
gpt-4o-mini,1.3,clear(red-block),0.7,10,18.349949836730957
gpt-4o-mini,1.3,clear(blue-block),0.6,10,18.349949836730957
gpt-4o-mini,1.3,"on(blue-block, cyan-block)",0.3,10,18.349949836730957
gpt-4o-mini,1.3,"on(red-block, green-block)",0.3,10,18.349949836730957
gpt-4o-mini,1.3,handfree(gripper),0.2,10,18.349949836730957
gpt-4o-mini,1.3,"on(green-block, blue-block)",0.2,10,18.349949836730957
gpt-4o-mini,1.3,handfree(greipper-gripper),0.1,10,18.349949836730957
gpt-4o-mini,1.3,"on(green-block, red-block)",0.1,10,18.349949836730957
gpt-4o-mini,1.3,handfree(greipper),0.1,10,18.349949836730957
gpt-4o-mini,1.3,"holding(cyan-block, gripper)",0.1,10,18.349949836730957
gpt-4o-mini,1.3,"on(cyan-block, blue-block)",0.1,10,18.349949836730957
gpt-4o-mini,1.3,handfree(gipper-gripper),0.1,10,18.349949836730957
gpt-4o-mini,1.3,"on(block_cyan, block_blue)",0.1,10,18.349949836730957
gpt-4o-mini,1.3,clear(block_green),0.1,10,18.349949836730957
gpt-4o-mini,1.3,clear(block_red),0.1,10,18.349949836730957
gpt-4o-mini,1.3,ontable(block_blue),0.1,10,18.349949836730957
gpt-4o-mini,1.3,ontable(block_green),0.1,10,18.349949836730957
gpt-4o-mini,1.3,clear(block_blue),0.1,10,18.349949836730957
gpt-4o-mini,1.3,ontable(block_red),0.1,10,18.349949836730957
gpt-4o-mini,1.3,handfree(grey-gripper),0.1,10,18.349949836730957
gpt-4o-mini,1.3,"on(red, green)",0.1,10,18.349949836730957
gpt-4o-mini,1.3,clear(red),0.1,10,18.349949836730957
gpt-4o-mini,1.3,clear(blue),0.1,10,18.349949836730957
gpt-4o-mini,1.3,ontable(green),0.1,10,18.349949836730957
gpt-4o-mini,1.3,handfree(grey),0.1,10,18.349949836730957
gpt-4o-mini,1.3,clear(green),0.1,10,18.349949836730957
gpt-4o-mini,1.3,"on(blue, cyan)",0.1,10,18.349949836730957
gpt-4o-mini,1.3,"on(brown, table)",0.1,10,18.349949836730957
gpt-4o-mini,1.3,ontable(red),0.1,10,18.349949836730957
gpt-4o-mini,1.3,clear(cyan),0.1,10,18.349949836730957
gpt-4o-mini,1.3,handfree(gripper-gripper),0.1,10,18.349949836730957
gpt-4o-mini,1.3,"holding(blue-block, gripper-gripper)",0.1,10,18.349949836730957
gpt-4o-mini,1.5,ontable(red-block),0.8,10,16.881134033203125
gpt-4o-mini,1.5,ontable(green-block),0.8,10,16.881134033203125
gpt-4o-mini,1.5,clear(blue-block),0.6,10,16.881134033203125
gpt-4o-mini,1.5,clear(red-block),0.6,10,16.881134033203125
gpt-4o-mini,1.5,ontable(blue-block),0.6,10,16.881134033203125
gpt-4o-mini,1.5,clear(green-block),0.6,10,16.881134033203125
gpt-4o-mini,1.5,"on(red-block, green-block)",0.6,10,16.881134033203125
gpt-4o-mini,1.5,ontable(cyan-block),0.6,10,16.881134033203125
gpt-4o-mini,1.5,clear(cyan-block),0.4,10,16.881134033203125
gpt-4o-mini,1.5,"on(blue-block, cyan-block)",0.4,10,16.881134033203125
gpt-4o-mini,1.5,handfree(grey-gripper),0.3,10,16.881134033203125
gpt-4o-mini,1.5,"on(green-block, blue-block)",0.2,10,16.881134033203125
gpt-4o-mini,1.5,clear(red),0.2,10,16.881134033203125
gpt-4o-mini,1.5,ontable(blue),0.2,10,16.881134033203125
gpt-4o-mini,1.5,clear(blue),0.2,10,16.881134033203125
gpt-4o-mini,1.5,ontable(green),0.2,10,16.881134033203125
gpt-4o-mini,1.5,clear(green),0.2,10,16.881134033203125
gpt-4o-mini,1.5,ontable(cyan),0.2,10,16.881134033203125
gpt-4o-mini,1.5,handfree(gripper),0.2,10,16.881134033203125
gpt-4o-mini,1.5,ontable(red),0.2,10,16.881134033203125
gpt-4o-mini,1.5,clear(cyan),0.2,10,16.881134033203125
gpt-4o-mini,1.5,"holding(cyan-block, gripper)",0.2,10,16.881134033203125
gpt-4o-mini,1.5,handfree(gripper-gripper),0.1,10,16.881134033203125
gpt-4o-mini,1.5,"on(blue-block, green-block)",0.1,10,16.881134033203125
gpt-4o-mini,1.5,heavy(cyan-block),0.1,10,16.881134033203125
gpt-4o-mini,1.5,"on(red, green)",0.1,10,16.881134033203125
gpt-4o-mini,1.5,"on(green, cyan)",0.1,10,16.881134033203125
gpt-4o-mini,1.5,"on(cyan-block, blue-block)",0.1,10,16.881134033203125
gpt-4o-mini,1.5,"on(brown, blue)",0.1,10,16.881134033203125
gpt-4o-mini,1.5,handfree(grey),0.1,10,16.881134033203125
gpt-4o-mini,1.5,"on(brown, cyan)",0.1,10,16.881134033203125
gpt-4o-mini,1.5,handfree(grey-colored gripper),0.1,10,16.881134033203125
gpt-4o-mini,1.5,clear(purple-block),0.1,10,16.881134033203125
gpt-4o-mini,1.5,handfull(gripper),0.1,10,16.881134033203125
gpt-4o-mini,1.5,"on(green-block, cyan-block)",0.1,10,16.881134033203125
gpt-4o-mini,1.5,handfree(greipper),0.1,10,16.881134033203125
gpt-4.1-nano,1.0,ontable(blue),0.6,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(green),0.6,10,11.35923719406128
gpt-4.1-nano,1.0,handfree(gripper),0.6,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(red),0.4,10,11.35923719406128
gpt-4.1-nano,1.0,"on(red, green)",0.3,10,11.35923719406128
gpt-4.1-nano,1.0,"on(blue, green)",0.2,10,11.35923719406128
gpt-4.1-nano,1.0,"on(cyan, green)",0.2,10,11.35923719406128
gpt-4.1-nano,1.0,"on(blue, table)",0.2,10,11.35923719406128
gpt-4.1-nano,1.0,"on(green, red)",0.2,10,11.35923719406128
gpt-4.1-nano,1.0,clear(red),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,clear(blue),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,clear(green),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,"on(blue block, brown table)",0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(blue block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(red block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,"on(green block, red block)",0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(green block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,"on(red, blue)",0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(red-block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(blue-block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(green-block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,"on(green-block, red-block)",0.1,10,11.35923719406128
gpt-4.1-nano,1.0,"on(blue-block, green-block)",0.1,10,11.35923719406128
gpt-4.1-nano,1.0,"holding(cyan, gripper)",0.1,10,11.35923719406128
gpt-4.1-nano,1.0,handfull(gripper),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(blue (block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(red (block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,ontable(green (block),0.1,10,11.35923719406128
gpt-4.1-nano,1.0,on(cyan (block),0.1,10,11.35923719406128
gpt-4.1-nano,1.3,ontable(blue),0.9,10,9.62088394165039
gpt-4.1-nano,1.3,ontable(red),0.9,10,9.62088394165039
gpt-4.1-nano,1.3,ontable(green),0.8,10,9.62088394165039
gpt-4.1-nano,1.3,handfree(gripper),0.4,10,9.62088394165039
gpt-4.1-nano,1.3,"on(cyan, green)",0.2,10,9.62088394165039
gpt-4.1-nano,1.3,"on(blue, green)",0.2,10,9.62088394165039
gpt-4.1-nano,1.3,"on(green, red)",0.2,10,9.62088394165039
gpt-4.1-nano,1.3,clear(red),0.2,10,9.62088394165039
gpt-4.1-nano,1.3,clear(blue),0.2,10,9.62088394165039
gpt-4.1-nano,1.3,clear(green),0.2,10,9.62088394165039
gpt-4.1-nano,1.3,"ongreen(block, block)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"onred(block, block)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"onblue(block, block)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,ontable(cyan),0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"on(blue, cyan)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"on(red, blue)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"on(blue, brown)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,clear(cyan),0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"holding(green, gripper-gripper)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"ontransporter(cyan, blue)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"on(blue, red)",0.1,10,9.62088394165039
gpt-4.1-nano,1.3,"holding(cyan, gripper-gripper)",0.1,10,9.62088394165039
gpt-4.1-nano,1.5,ontable(blue),0.4,10,29.255063772201538
gpt-4.1-nano,1.5,ontable(green),0.3,10,29.255063772201538
gpt-4.1-nano,1.5,ontable(red),0.3,10,29.255063772201538
gpt-4.1-nano,1.5,ontable(cyan),0.2,10,29.255063772201538
gpt-4.1-nano,1.5,handfree(gripper),0.2,10,29.255063772201538
gpt-4.1-nano,1.5,"on(green, red)",0.2,10,29.255063772201538
gpt-4.1-nano,1.5,middle(y-block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,ontalarge(y-block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"ontop(red-block, green-block)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"hold(gripper-1, red)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,off(A),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"ond(blue, green)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"on(blue, red)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"on(blue, questo)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"on(green, yellow)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"on(red, grøn)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,ontable(red-colored block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"holding(grey-colored gripper, none)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,sorien(),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"on(green-colored block, red-colored block)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,"holding(green-block, gripper)",0.1,10,29.255063772201538
gpt-4.1-nano,1.5,ontable(red-block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,handfull(gripper-gripper),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,clear(blue-block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,clear(red-block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,ontable(blue-block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,ontable(green-block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,clear(green-block),0.1,10,29.255063772201538
gpt-4.1-nano,1.5,einzigeentemente(b art untşi մանկ(),0.1,10,29.255063772201538
