model,temperature,predicate,pos_proba_0,pos_proba_1,pos_proba_2,pos_proba_3,pos_proba_4,mean_pos_proba,std_pos_proba,cv,ci_95_width,reliability
gpt-4o,1.0,"holding(cyan-block, gripper-gripper)",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,robust
gpt-4o,1.0,ontable(cyan-block),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.0,"on(green-block, table)",0.0,0.1,0.0,0.1,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o,1.0,ontable(brown-block),0.0,0.1,0.0,0.2,0.0,0.06,0.08,1.3333333333333335,0.0701230917743934,acceptable
gpt-4o,1.0,ontable(brown-table),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.0,clear(cyan-block),0.4,0.5,0.7,0.9,0.4,0.58,0.194,0.3344827586206897,0.17004849755290402,shaky
gpt-4o,1.0,"on(red-block, green-block)",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,robust
gpt-4o,1.0,handfull(gripper-gripper),0.7,0.6,0.5,0.7,0.7,0.64,0.08,0.125,0.0701230917743934,acceptable
gpt-4o,1.0,ontable(blue-block),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,robust
gpt-4o,1.0,"on(green-block, table-block)",0.0,0.0,0.0,0.1,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.0,"on(green-block, table-table)",0.1,0.1,0.0,0.0,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o,1.0,"on(green-block, blue-block)",0.0,0.1,0.1,0.1,0.1,0.08,0.04,0.5,0.0350615458871967,robust
gpt-4o,1.0,clear(blue-block),0.8,0.7,0.4,0.9,0.6,0.68,0.172,0.25294117647058817,0.1507646473149458,shaky
gpt-4o,1.0,ontable(green-block),0.9,0.7,0.9,0.7,0.9,0.82,0.098,0.11951219512195123,0.08590078742363191,acceptable
gpt-4o,1.0,clear(red-block),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,robust
gpt-4o,1.0,ontable(red-block),0.1,0.2,0.0,0.0,0.1,0.08,0.075,0.9375,0.06574039853849381,acceptable
gpt-4o,1.3,"holding(cyan-block, gripper-gripper)",0.9,1.0,1.0,1.0,1.0,0.98,0.04,0.04081632653061225,0.0350615458871967,robust
gpt-4o,1.3,ontable(cyan-block),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.3,"on(green-block, table)",0.1,0.1,0.1,0.0,0.0,0.06,0.049,0.8166666666666668,0.04295039371181596,robust
gpt-4o,1.3,handfree(gripper-gripper),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.3,ontable(brown-table),0.0,0.0,0.2,0.3,0.2,0.14,0.12,0.857142857142857,0.1051846376615901,acceptable
gpt-4o,1.3,clear(cyan-block),0.6,0.6,0.6,0.7,0.4,0.58,0.098,0.16896551724137931,0.08590078742363191,acceptable
gpt-4o,1.3,"on(red-block, green-block)",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,robust
gpt-4o,1.3,handfull(gripper-gripper),0.6,0.7,0.8,0.6,0.4,0.62,0.133,0.21451612903225808,0.11657964007492903,acceptable
gpt-4o,1.3,ontable(blue-block),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,robust
gpt-4o,1.3,"on(green-block, blue-block)",0.1,0.2,0.3,0.2,0.2,0.2,0.063,0.315,0.0552219347723348,acceptable
gpt-4o,1.3,"on(green-block, green-block)",0.0,0.0,0.0,0.0,0.1,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.3,clear(blue-block),0.6,0.7,0.3,0.6,0.4,0.52,0.147,0.2826923076923077,0.12885118113544786,acceptable
gpt-4o,1.3,ontable(green-block),0.8,0.7,0.7,0.8,0.9,0.78,0.075,0.09615384615384615,0.06574039853849381,acceptable
gpt-4o,1.3,clear(red-block),1.0,1.0,0.8,0.9,0.9,0.92,0.075,0.08152173913043477,0.06574039853849381,acceptable
gpt-4o,1.3,ontable(red-block),0.1,0.1,0.0,0.0,0.0,0.04,0.049,1.225,0.04295039371181596,robust
gpt-4o,1.3,"on(blue-block, table)",0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,"on(green-block, orange-block)",0.0,0.0,0.1,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,ontable(brown-block),0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
gpt-4o,1.5,"on(green-block, red-block)",0.1,0.0,0.0,0.0,0.0,0.02,0.04,2.0,0.0350615458871967,robust
