temperature,trial_count,predicate,yes_count,no_count,pos_proba,trial_total_time
1.0,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,6.877601146697998
1.0,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,6.927335977554321
1.0,10,Is blue box directly on top of brown table? Answer 'Yes' or 'No'.,0,10,0.0,8.615307092666626
1.0,10,Is red box directly on top of brown table? Answer 'Yes' or 'No'.,0,10,0.0,11.225623846054077
1.0,10,Is grey robot holding cyan box? Answer 'Yes' or 'No'.,10,0,1.0,8.784204959869385
1.0,10,Is grey robot holding red box? Answer 'Yes' or 'No'.,0,10,0.0,8.30950403213501
1.0,10,Is grey robot hand free? Answer 'Yes' or 'No'.,4,6,0.4,8.116044998168945
1.0,10,Is grey robot hand full? Answer 'Yes' or 'No'.,1,9,0.1,7.73506498336792
1.0,10,Is green box clear? Answer 'Yes' or 'No'.,8,2,0.8,7.864017963409424
1.0,10,Is blue box clear? Answer 'Yes' or 'No'.,8,2,0.8,7.9092700481414795
1.0,10,Is red box clear? Answer 'Yes' or 'No'.,10,0,1.0,7.227240800857544
1.0,10,Is cyan box clear? Answer 'Yes' or 'No'.,9,1,0.9,7.559161186218262
1.5,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,10.343777656555176
1.5,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,7.205355167388916
1.5,10,Is blue box directly on top of brown table? Answer 'Yes' or 'No'.,0,10,0.0,6.834903240203857
1.5,10,Is red box directly on top of brown table? Answer 'Yes' or 'No'.,0,10,0.0,6.950644016265869
1.5,10,Is grey robot holding cyan box? Answer 'Yes' or 'No'.,10,0,1.0,8.965047121047974
1.5,10,Is grey robot holding red box? Answer 'Yes' or 'No'.,0,10,0.0,7.954272985458374
1.5,10,Is grey robot hand free? Answer 'Yes' or 'No'.,8,2,0.8,9.141454935073853
1.5,10,Is grey robot hand full? Answer 'Yes' or 'No'.,6,4,0.6,8.10498595237732
1.5,10,Is green box clear? Answer 'Yes' or 'No'.,4,6,0.4,9.193487882614136
1.5,10,Is blue box clear? Answer 'Yes' or 'No'.,8,2,0.8,8.210862159729004
1.5,10,Is red box clear? Answer 'Yes' or 'No'.,8,2,0.8,7.368269920349121
1.5,10,Is cyan box clear? Answer 'Yes' or 'No'.,5,5,0.5,7.238959074020386
2.0,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,8.52819013595581
2.0,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,7.05987811088562
2.0,10,Is blue box directly on top of brown table? Answer 'Yes' or 'No'.,0,10,0.0,6.380735874176025
2.0,10,Is red box directly on top of brown table? Answer 'Yes' or 'No'.,0,10,0.0,15.120851993560791
2.0,10,Is grey robot holding cyan box? Answer 'Yes' or 'No'.,7,3,0.7,16.593457221984863
2.0,10,Is grey robot holding red box? Answer 'Yes' or 'No'.,0,10,0.0,8.495984077453613
2.0,10,Is grey robot hand free? Answer 'Yes' or 'No'.,4,6,0.4,15.874468803405762
2.0,10,Is grey robot hand full? Answer 'Yes' or 'No'.,3,7,0.3,15.365664958953857
2.0,10,Is green box clear? Answer 'Yes' or 'No'.,4,6,0.4,5.933943033218384
2.0,10,Is blue box clear? Answer 'Yes' or 'No'.,9,1,0.9,7.903592348098755
2.0,10,Is red box clear? Answer 'Yes' or 'No'.,7,3,0.7,7.252652883529663
2.0,10,Is cyan box clear? Answer 'Yes' or 'No'.,3,7,0.3,16.794250965118408
