temperature,trial_count,predicate,yes_count,no_count,pos_proba,trial_total_time
1.0,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,7.9796531200408936
1.0,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,7.174532175064087
1.0,10,Is blue box directly on top of brown box? Answer 'Yes' or 'No'.,0,10,0.0,9.44307279586792
1.0,10,Is green box directly on top of brown box? Answer 'Yes' or 'No'.,0,10,0.0,7.865302801132202
1.0,10,Is red box directly on top of brown box? Answer 'Yes' or 'No'.,0,10,0.0,7.170285224914551
1.0,10,Is grey robot holding cyan box? the robot is considered holding a box of some color if there's an intersection of an object of that color with the robot. Answer 'Yes' or 'No'.,9,1,0.9,7.273309946060181
1.0,10,Is grey robot holding red box? the robot is considered holding a box of some color if there's an intersection of an object of that color with the robot. Answer 'Yes' or 'No'.,0,10,0.0,9.720798969268799
1.0,10,Is grey robot hand free? the robot is considered handfree if there isn't any intersection of some object with the robot. Answer 'Yes' or 'No'.,8,2,0.8,7.400198221206665
1.0,10,Is grey robot hand full? the robot is considered handfull if there is an intersection of some object with the robot. Answer 'Yes' or 'No'.,4,6,0.4,7.452303886413574
1.0,10,Is green box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,2,8,0.2,7.862202882766724
1.0,10,Is blue box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,10,0,1.0,7.573472023010254
1.0,10,Is red box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,10,0,1.0,7.288377046585083
1.0,10,Is cyan box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,10,0,1.0,6.829724073410034
1.0,10,Is green box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,3,7,0.3,7.417104959487915
1.5,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,8.081303119659424
1.5,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,7.791359186172485
1.5,10,Is blue box directly on top of brown box? Answer 'Yes' or 'No'.,0,10,0.0,8.486879110336304
1.5,10,Is green box directly on top of brown box? Answer 'Yes' or 'No'.,0,10,0.0,7.894288063049316
1.5,10,Is red box directly on top of brown box? Answer 'Yes' or 'No'.,0,10,0.0,7.070785999298096
1.5,10,Is grey robot holding cyan box? the robot is considered holding a box of some color if there's an intersection of an object of that color with the robot. Answer 'Yes' or 'No'.,10,0,1.0,6.748777866363525
1.5,10,Is grey robot holding red box? the robot is considered holding a box of some color if there's an intersection of an object of that color with the robot. Answer 'Yes' or 'No'.,0,10,0.0,7.267011880874634
1.5,10,Is grey robot hand free? the robot is considered handfree if there isn't any intersection of some object with the robot. Answer 'Yes' or 'No'.,6,4,0.6,6.759218215942383
1.5,10,Is grey robot hand full? the robot is considered handfull if there is an intersection of some object with the robot. Answer 'Yes' or 'No'.,2,8,0.2,6.963068246841431
1.5,10,Is green box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,4,6,0.4,6.478005886077881
1.5,10,Is blue box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,10,0,1.0,7.5661680698394775
1.5,10,Is red box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,10,0,1.0,6.512088060379028
1.5,10,Is cyan box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,9,1,0.9,9.267552852630615
1.5,10,Is green box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,3,7,0.3,6.935751914978027
2.0,10,Is blue box directly on top of green box? Answer 'Yes' or 'No'.,0,10,0.0,11.021514892578125
2.0,10,Is red box directly on top of green box? Answer 'Yes' or 'No'.,10,0,1.0,8.752370119094849
2.0,10,Is blue box directly on top of brown box? Answer 'Yes' or 'No'.,0,10,0.0,9.31088376045227
2.0,10,Is green box directly on top of brown box? Answer 'Yes' or 'No'.,2,8,0.2,7.201807260513306
2.0,10,Is red box directly on top of brown box? Answer 'Yes' or 'No'.,0,10,0.0,7.437320947647095
2.0,10,Is grey robot holding cyan box? the robot is considered holding a box of some color if there's an intersection of an object of that color with the robot. Answer 'Yes' or 'No'.,6,4,0.6,23.75157594680786
2.0,10,Is grey robot holding red box? the robot is considered holding a box of some color if there's an intersection of an object of that color with the robot. Answer 'Yes' or 'No'.,0,10,0.0,15.161805152893066
2.0,10,Is grey robot hand free? the robot is considered handfree if there isn't any intersection of some object with the robot. Answer 'Yes' or 'No'.,9,1,0.9,7.886074066162109
2.0,10,Is grey robot hand full? the robot is considered handfull if there is an intersection of some object with the robot. Answer 'Yes' or 'No'.,4,6,0.4,7.37502384185791
2.0,10,Is green box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,2,8,0.2,7.867032051086426
2.0,10,Is blue box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,8,2,0.8,9.538818836212158
2.0,10,Is red box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,8,2,0.8,18.850003957748413
2.0,10,Is cyan box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,9,1,0.9,7.9171929359436035
2.0,10,Is green box clear? a box is considered clear if there isn't any object right on top of it. Answer 'Yes' or 'No'.,2,8,0.2,24.842841148376465
